Army Public School,"Sector D, Chandimandir, Panchkula, Panchkula , Panchkula",+(91)-172-2589605,,,4.1,Schools
Hans Raj Public School,"Panchkula, Panchkula - 134109, Sector -6",+(91)-172-2573800,,,4.6,"Schools , Institutes"
Govt Model Sr Sec School,"Chandigarh - 160017, Sector 22-A",+(91)-172-2720047,,,4.0,Schools
Yadavindra Public School,"Mohali, Chandigarh - 160062, Sector 51 SAS Nagar","+(91)-172-2232850 , +(91)-8146981354",,,4.3,"Schools , English Medium Schools , ICSE Schools"
Kendriya Vidyalaya No 2,"Panchkula, Panchkula - 134109, Chandimandir Cantt","+(91)-172-2589653 , 2589401",http://www.kv2chandimandir.org,,4.0,"Schools , CBSE Schools , English Medium Schools"
Mount Litera Zee School,"Panchkula, Panchkula - 134109, Panchkula Extension - 2, Sector-14, Urban Complex, Near Kot Village","+(91)-9417314167 , 9417004758 , 9988997955 , 9463450831",http://www.mountlitera.com,,4.2,"Schools , CBSE Schools , Playgroups , English Medium Schools , Nursery Schools , High School , School Pre Primary , Pre Schools , Pre Nursery Schools , Art Schools , Finishing Schools , School Preperatory , Finishing Schools For Children"
St Marys School,"Chandigarh Sector 46, Chandigarh - 160047, Sector-46B, Near Dhanwantri Hospital","+(91)-172-2633575 , +(91)-9417261322",,,4.0,"Schools , CBSE Schools , English Medium Schools"
Kendriya Vidyalaya,"O C F Sector 29-A Chandigarh, Sector-29, Chandigarh - 160020",+(91)-172-2234568,,,2.5,"Schools , CBSE Schools , English Medium Schools"
Moti Ram Arya Senior Secondary Model School,"Chandigarh Sector 27, Chandigarh - 160019, Sector-27 A","+(91)-172-2651058 , 2638652 , 2653790",http://www.mraschool.com,,4.4,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , Educational Institutions"
Shivalik Public School,"Mohali Sas Nagar, Mohali - 160055, Phase-6","+(91)-172-2225486 , +(91)-9872576786",http://www.shivalik.org,,4.4,"Schools , CBSE Schools , English Medium Schools"
Government Model Senior Secondary School,"26, Chandigarh Sector 26, Chandigarh - 160019, Timber Market","+(91)-172-2790210 , +(91)-9779278670",,,3.0,"Schools , CBSE Schools , English Medium Schools , Hindi Medium Schools"
Dikshant Intl School,"Nh - 22,Zirakpur-Panchkula Highway, Zirakpur HO, Zirakpur - 140603","+(91)-1762-508438 , +(91)-9814135504 , 9257214796",http://www.dikshant.org,,4.9,"Schools , CBSE Schools , English Medium Schools"
DPS Play School,"VIP Road, Zirakpur Ho, Zirakpur - 140603","+(91)-9888953303 , 9888953678",,,4.7,"Schools , Playgroups , English Medium Schools"
