Dev In National School,"No.3/1, 60 Feet Road,Off International Airport road, Sahakara Nagar, Bangalore - 560092, Near Cauver...",+(91)-80-30119220,http://www.dnsblr.org,1994,4.0,"CBSE Schools , Schools , ICSE Schools , Colleges , Kindergartens , Pre University Institutes , Boarding Schools , Montessori Schools , MBA Institutes , Schools State Syllabus , Public Schools , Nursery Schools , English Medium Schools"
Euro Kids,"Plot No 33/1,Belandur Gate, Ambalipura, Sarjapur Road, Bangalore - 560034","+(91)-80-33055873 , 18002095656",http://www.eurokidsindia.com,2001,4.0,"Schools , Kindergartens"
M G School For Excellence,"No.171, Bilekahalli, Bannerghatta Road, Bangalore - 560076, Near Someshwara Temple",+(91)-80-39828052,http://www.mgexcellence.org,1998,4.3,"Schools , ICSE Schools , Kindergartens , Nursery Schools , English Medium Schools"
Sky High,"No 06, 2nd Main,4th Cross,Beml Layout, Rajarajeshwari Nagar, Bangalore - 560098, Behind Old Manipal ...",+(91)-80-33094865,http://www.skyhighschools.com,2013,4.0,"CBSE Schools , Schools , Kindergartens , Nursery Schools"
Gokul Convent,"No 538, 63rd Cross, 5th Block, Rajajinagar, Rajajinagar, Bangalore - 560010, Near Bashyam Circle",+(91)-80-39628825,,1994,3.9,"CBSE Schools , Schools , Kindergartens , Montessori Schools , Schools State Syllabus , Baby Sitters , Convent Schools"
Maxwell Public School,"9th Main,1st Block, Hrbr Layout, Kalyan Nagar, Bangalore - 560043, Near Banaswadi Fire Station Road",+(91)-80-33563393,http://www.mpsedu.com,1992,3.8,"Schools , ICSE Schools"
Vidya Vahini School And College,"No.2, 1st Main Road, Anandnagar, Bangalore - 560024, Near R T Nagar Bus Depot",+(91)-80-33535110,,1988,4.0,"Schools , Colleges , Pre University Institutes , Institutes , Schools State Syllabus , B Com Institutes , Institutes For BCA , BA Institutes , Nursery Schools , Institutes For Bbm , Schools Nursery To X"
Malgudi Vidyanikethan,"No.340 And 381, 6th Main,2nd Stage,7th Block, Nagarbhavi, Bangalore - 560072, Near Vasan Eye Care",+(91)-80-33568644,,2013,4.4,"CBSE Schools , Schools , Nursery Schools"
Lourdes English High School,"No.54, Hrbr Layout Ring Road, Cmr Colony, Babusapalaya, Kalyan Nagar, Bangalore - 560043, Near Karna...",+(91)-80-33056355,,1992,3.8,"Schools , Colleges , Kindergartens , Schools State Syllabus , B Ed Colleges , Nursery Schools"
Dev In National School,"No.3/1, 60 Feet Road,Off International Airport road, Sahakara Nagar, Bangalore - 560092, Near Cauver...",+(91)-80-30119220,http://www.dnsblr.org,1994,4.0,"CBSE Schools , Schools , ICSE Schools , Colleges , Kindergartens , Pre University Institutes , Boarding Schools , Montessori Schools , MBA Institutes , Schools State Syllabus , Public Schools , Nursery Schools , English Medium Schools"
Precious Kids And Gyan Sarowar School,"No.7/C, Lumbini Garden, Hebbal, Bangalore - 560024, Opposite Chaitanya Hospital",+(91)-80-33538902,,2010,3.5,"Schools , Kindergartens , Day Care Centres , Home Tutors , Montessori Schools , Playgroups , Baby Sitters , Nursery Schools , Home Tutors For School , Tutorials For Middle School"
Euro Kids,"No. 22, Panchayat Road,Seegehalli Village Main Road, Kadugodi Post, Kadugodi, Bangalore - 560067, Ne...",+(91)-80-39558609,http://www.eurokidsindia.com,2012,4.5,"Schools , Kindergartens , Nursery Schools"
SSB International Schools,"No.5/A, Hal 2nd Stage, Indiranagar, Bangalore - 560038",+(91)-80-39628035,,1977,3.7,"Schools , ICSE Schools , Kindergartens , Montessori Schools , International Schools , Montessori International"
Radcliffe School,"15th Milestone, Gottigere, Bannerghatta Road, Bangalore - 560076, Next To Rml Law College",+(91)-80-39827740,http://www.radcliffe.in,2009,3.7,"CBSE Schools , Schools , Kindergartens , Montessori Schools , Nursery Schools , IGCSE Schools , English Medium Schools"
Freedom Kids,"No.129, 4th Cross,Vishwanatha Nagenahalli, R T Nagar, Bangalore - 560032, Behind Nagenahalli Church,",+(91)-80-33539355,,2015,3.5,"Schools , Kindergartens , Day Care Centres , Baby Sitters , Nursery Schools"
Eurokids,"No 171/2a, J P Naar 8th Phase, Kothanur Village, Jp Nagar 8th Phase, Bangalore - 560076, Opposite H ...",+(91)-80-33910665,,,3.5,"Schools , Kindergartens , Nursery Schools"
Euro Kids,"No. 98, 5th Main, Royal Placid Layout Phase 1, Hsr Layout, Bangalore - 560102, Off Haralur Road, Beh...",+(91)-80-33539990,http://www.eurokidsindia.com,* * * * * Euro Kids ********* International Pre School Play Home Nursery Activity Club For Children Between 4 & 11yrs. Children Library,4.4,"Schools , Kindergartens , Playgroups"
EuroKids,"No.163, 6th Cross,Celebrity Paradise Layout Doddathogur, Electronic City, Bangalore - 560100, Near V...",+(91)-80-33050660,http://www.eurokidsindia.com,2010,4.5,"Schools , Kindergartens , Nursery Schools"
Jeevana Joythi Vidyalaya,"No-17/4, 1st Yby Cross ,3rd Main ,Mathikere, Mathikere, Bangalore - 560054, Near Jayaram Colony",+(91)-80-33085077,,1983,4.0,"Schools , Kindergartens , Montessori Schools , Schools State Syllabus , Nursery Schools"
Global Academy For Learning School,"No.40, Shri Chodeshwari Farm, Pattenegare Main Road, Global Village, Bangalore - 560059",+(91)-80-33618973,http://www.gaflschool.com,2013,4.6,"CBSE Schools , Schools , ICSE Schools , Kindergartens , Day Care Centres , Montessori Schools , International Schools , Schools State Syllabus , Baby Sitters , Nursery Schools , IGCSE Schools , Montessori International , Schools Nursery To VII"
Lawrence High School,"9th Main, 6th Sector, Hsr Layout, Bangalore - 560102, Near Bda Complex","+(91)-80-25722777 , +(91)-9845760764 , +(91)-9886583165",http://www.lawrenceschool.in,2013,4.1,"Schools , ICSE Schools"
Euro Kids,"658, 10th Cross, 2nd Stage, West Of Chord Road, Mahalakshmipuram Layout, Bangalore - 560086",+(91)-80-39559200,,,4.3,"Schools , Kindergartens , Nursery Schools"
Royale Concorde International School And PU College,"Hongasandra 13th Main,Begur Main Road, Bommanahalli, Bangalore - 560068, Behind State Bank Of India",+(91)-80-33539657,http://www.rcis.in,2005,5.0,"CBSE Schools , Schools , Colleges , Pre University Institutes , Kindergartens , Day Care Centres , Montessori Schools , International Schools , Playgroups , Commerce Colleges , Nursery Schools"
Euro Kids,"No.6, Ground Floor, Obamma Lane, S R Layout, Murugeshpalya, Bangalore - 560017, Near To Omega Health...","+(91)-80-33532505 , 18002095656",http://www.eurokidsindia.com,2013,4.2,"Schools , Kindergartens , Montessori Schools"
Euro Kids,"Plot No.353, 2nd Cross,Duo Marvel Layout,Ananthpura Road, Yelahanka, Bangalore - 560064, Behind Rama...",+(91)-80-33561300,http://www.eurokidsindia.com,2011,4.1,"Schools , Summer Camps , Kindergartens , Montessori Schools , Nursery Schools"
Narayana E Techno School,"No.85, Outer Ring Road, Nandhini Layout, Bangalore - 560096, Near Laggere Bridge",+(91)-80-33910435,,2014,3.6,"CBSE Schools , Schools , Kindergartens , Montessori Schools , Nursery Schools , English Medium Schools , Schools Nursery To VII , Schools Nursery To X"
M G School For Excellence,"No.171, Bilekahalli, Bannerghatta Road, Bangalore - 560076, Near Someshwara Temple",+(91)-80-39828052,http://www.mgexcellence.org,1998,4.3,"Schools , ICSE Schools , Kindergartens , Nursery Schools , English Medium Schools"
Royal Public School,"No.43, Mariyappanapalya Main Road, Bangalore Vishwavidyalaya, Bangalore - 560056",+(91)-80-39559291,,2013,4.0,"CBSE Schools , Schools , Montessori Schools , Schools State Syllabus , Teacher Training Institutes , Nursery Schools , Schools Nursery To VII"
Euro Kids,"No 36, 3rd Cross, Abbayya Layout,Pwd Road, Mahadevapura, Bangalore - 560048",+(91)-80-33792724,,,4.0,"Schools , Kindergartens , Montessori Schools , Nursery Schools"
Jeevana Joythi Vidyalaya,"No-17/4, 1st Yby Cross ,3rd Main ,Mathikere, Mathikere, Bangalore - 560054, Near Jayaram Colony",+(91)-80-33085077,,1983,4.0,"Schools , Kindergartens , Montessori Schools , Schools State Syllabus , Nursery Schools"
Euro Kids,"45, 3rd Main, Park Road, Kengeri Satellite Town, Park Road., Kengeri Satelite Town, Bangalore - 5600...",+(91)-80-33092207,http://www.eurokidsindia.com,2007,4.0,"Schools , Kindergartens , Nursery Schools"
Eurokids,"Site No.2, Akshayanagar Colony,Begur Hobli, Bannerghatta Road, Bangalore - 560076, Near DLF Township",+(91)-80-33723401,http://eurokidsindia.com,2015,3.5,"Schools , Kindergartens , Playgroups"
