Adani Vidya Mandir,"Vejalpur, Ahmedabad - 380051, Behind Adani CNG Pump, Beside Kataria Group, Off S G Highway, Makarba","+(91)-79-25557715 , 25557721 , 25557729 , 25557725",http://www.adanividyamandir.org,,4.0,"CBSE Schools , Schools , English Medium Schools"
Eklavya School,"Sarkhej Sanand Highway, Sanand Ho, Sanand - 382110, Near Sanathal Village",+(91)-2717-294227,http://www.eklavya.org,,4.1,"Schools , English Medium Schools , ICSE Schools , Kindergartens , Nursery Schools"
Udgam School For Children,"Jodhpur Cross Roads, Satellite, Ahmedabad - 380015, Near Ioc Petrol Pump","+(91)-79-26769595 , +(91)-9099902221 , 26850336",http://www.udgamschool.com,,4.2,"CBSE Schools , Schools , English Medium Schools , Kindergartens"
Zydus School For Excellence,"Bopal Sanand Road, Bopal, Ahmedabad - 380058, Near Village Godhavi","+(91)-8141015151 , 8141016161 , 8141019191",http://www.zydusschool.org,,4.1,"Schools , English Medium Schools , ICSE Schools , Kindergartens , Nursery Schools"
Shree Narayana Guru Vidyalaya,"Satellite, Ahmedabad - 380015, Opposite Isro, Ramdev Nagar, Jodhpur Tekra","+(91)-79-26861695 , 26860530 , 26860308",,,4.1,"Schools , CBSE Schools , English Medium Schools , Gujarati Medium Schools , Colleges , Commerce Colleges , Kindergartens , Gseb Schools , Colleges For Private MCom , B Com College Private"
St Kabir School,"Navrangpura, Ahmedabad - 380009, Behind H L College Of Commerce",+(91)-79-26461915,http://www.stkabir.com,,4.3,"Schools , English Medium Schools , Gseb Schools , Kindergartens , Nursery Schools"
A One School,"132 Feet Ring Road, Satellite, Ahmedabad - 380015, Near Ashwamegh, Opposite Jivandhara Party Plot, B...",+(91)-79-26741234,,,4.0,"Schools , Playgroups , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Rachana School,"Shahibaug, Ahmedabad - 380004, Opposite Rita Park, Near Sujata Flats","+(91)-79-22867745 , 22865935",http://www.rachanaschool.com,,4.1,"Schools , CBSE Schools , English Medium Schools"
Kendriya Vidyalaya No 1,"M R Campus, Shahibaug, Ahmedabad - 380004, Near Police Commissioner Office",+(91)-79-25626493,http://www.kvshahibaug.org,,4.1,"Schools , CBSE Schools , English Medium Schools"
Asia English School,"Ground Floor, Sunrise Park, Drive In Road, Ahmedabad - 380052, Opposite Himalaya Mall, Opposite Driv...","+(91)-79-26856446 , 26856447 , 26856449",http://www.asiaenglishschool.net,,4.1,"Schools , CBSE Schools , English Medium Schools , Kindergartens , Nursery Schools"
Seventh  Day Adventist Higher Secondary School,"132 Feet Ring Road, Maninagar, Ahmedabad - 380008, Near Haripura","+(91)-79-25861452 , +(91)-7802947276 , 9974423645",http://www.sdaschoolahmedabad.org,,4.3,"Schools , English Medium Schools , Playgroups , ICSE Schools , Nursery Schools , Kindergartens , Public Schools , Schools For Higher Secondary , Schools Nursery To VII , School For Boys"
The New Tulip International School,"Sterling City, Bopal, Ahmedabad - 380058","+(91)-2717-231959 , +(91)-9909979079 , 9824228623 , 9909979076 , 9909979089 , 329210 , 235095",http://www.thetulipschool.com,,4.2,"Schools , CBSE Schools , English Medium Schools , ICSE Schools , Kindergartens , IGCSE Schools"
Gujarat Law Society,"Ellis Bridge, Ahmedabad - 380006, Opposite Law Garden","+(91)-79-26440532 , 26468513 , 26440547",http://www.gujaratlawsociety.org,,4.1,"Schools , Computer Training Institutes , English Medium Schools , Playgroups , Gujarati Medium Schools , Law Colleges , Nursery Schools , Kindergartens , Computer Training Institutes For Doeacc , MCSE Training Institutes , Computer Training Institutes For Novell Netware , Computer Training Institutes For MS Windows , Computer Training Institutes For Windows Nt , Computer Training Institutes For Oracle Financial"
Kameshwar Vidyalaya,"100 Feet Ring Road, Jodhpur Cross Road, Satellite, Ahmedabad - 380015, Near Mansi Circle","+(91)-79-26741136 , +(91)-8980022555",http://www.nishkal.org,,4.0,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Anand Niketan School,"Sindhu Bhavan Road, Bodakdev, Ahmedabad - 380054, Opposite Sindhu Bhavan, Off S G Road",+(91)-9737047653,http://www.anandniketan.org,,4.0,"Schools , English Medium Schools , ICSE Schools , Kindergartens , Nursery Schools"
DPS East School,"Hathijan, Ahmedabad - 382445, Opposite Punit Ashram, Near Nelson School","+(91)-79-25471117 , +(91)-8155013364",http://www.cprs.calorx.org,,4.0,"CBSE Schools , Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens"
St Kabir School,"Naranpura, Ahmedabad - 380013, Behind Loyola Hall, Near Vasu Pujya Apartment",+(91)-79-27910216,http://www.stkabir.com,,4.1,"Schools , English Medium Schools , Gseb Schools , Kindergartens , Nursery Schools"
Amrut School,"15, Cantonment, Shahibaug, Ahmedabad - 380004, Near Camp Hanuman","+(91)-79-22866393 , 22866501 , 22864144 , 22864145",http://www.amrutschool.edu.in,,4.2,"CBSE Schools , Schools , English Medium Schools , Gseb Schools , Nursery Schools , Kindergartens"
Podar International School,"New C G Road, Chandkheda, Ahmedabad - 382424, Behind Vitthal Complex, Opposite Sakaar School, Near T...","+(91)-79-23972774 , +(91)-7574807007 , 23972894 , 18001038866",http://www.podar.org,,4.1,"Schools , CBSE Schools , English Medium Schools , Nursery Schools"
Doon International Public School,"Jaihind School Campus, Maninagar, Ahmedabad - 380008, Near Jawahar Chowk","+(91)-79-25471533 , 25450300",,,4.4,"Schools , English Medium Schools , Kindergartens , Gseb Schools"
H B Kapadia New High School,"Shoppers Plaza, Sardar Patel Ring Road, Chandkheda, Ahmedabad - 382424, Behind Parshwanath Metro City","+(91)-9033424243 , 9537198986",http://www.hbkapadia.com,,4.2,"Schools , Playgroups , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
